email,month,ai_tool,model,total_tokens,total_spend_dollars
scott.thomas@company.com,2026-02-01,Gemini,gemini-2.5-flash,554234,8.08
scott.thomas@company.com,2026-04-01,Gemini,gemini-2.5-pro,517697,6.31
scott.thomas@company.com,2026-05-01,Gemini,gemini-2.5-pro,500593,7.59
scott.thomas@company.com,2026-06-01,Gemini,gemini-2.5-flash,329047,5.1
stephanie.baker@company.com,2026-02-01,Perplexity,sonar-pro,564646,11.04
joshua.torres@company.com,2026-01-01,GitHub Copilot,claude-sonnet-4-5,574891,7.61
joshua.torres@company.com,2026-02-01,GitHub Copilot,gpt-4o,393872,6.19
joshua.torres@company.com,2026-03-01,GitHub Copilot,gpt-4o,60138,0.78
joshua.torres@company.com,2026-04-01,GitHub Copilot,claude-sonnet-4-5,671259,9.9
joshua.torres@company.com,2026-05-01,GitHub Copilot,gpt-4o,628318,8.2
joshua.torres@company.com,2026-06-01,GitHub Copilot,claude-sonnet-4-5,408476,6.31
elena.muller@company.com,2026-01-01,Claude,claude-opus-4-1,278689,5.88
elena.muller@company.com,2026-01-01,Cursor,claude-opus-4-1,270325,5.76
elena.muller@company.com,2026-02-01,Claude,claude-sonnet-4-5,199679,4.67
elena.muller@company.com,2026-02-01,Cursor,gpt-4o,380487,7.44
elena.muller@company.com,2026-03-01,Claude,claude-sonnet-4-5,490528,12.43
elena.muller@company.com,2026-03-01,Cursor,claude-sonnet-4-5,489139,8.6
elena.muller@company.com,2026-04-01,Claude,claude-haiku-4-5,380646,7.93
elena.muller@company.com,2026-04-01,Cursor,claude-opus-4-1,405899,7.76
elena.muller@company.com,2026-05-01,Claude,claude-haiku-4-5,530642,11.02
elena.muller@company.com,2026-05-01,Cursor,gpt-4o,309065,5.65
elena.muller@company.com,2026-06-01,Claude,claude-sonnet-4-5,639819,14.67
elena.muller@company.com,2026-06-01,Cursor,claude-sonnet-4-5,468607,10.24
kimberly.zhang@company.com,2026-01-01,GitHub Copilot,claude-sonnet-4-5,215556,3.34
kimberly.zhang@company.com,2026-03-01,GitHub Copilot,o3-mini,591446,9.57
kimberly.zhang@company.com,2026-04-01,GitHub Copilot,gpt-4o,476019,7.93
kimberly.zhang@company.com,2026-05-01,GitHub Copilot,gpt-4o,422727,5.56
kimberly.zhang@company.com,2026-06-01,GitHub Copilot,o3-mini,5000,0.07
stephen.robinson@company.com,2026-01-01,GitHub Copilot,claude-sonnet-4-5,143015,1.92
stephen.robinson@company.com,2026-01-01,Cursor,claude-sonnet-4-5,237905,5.01
stephen.robinson@company.com,2026-02-01,GitHub Copilot,o3-mini,304413,4.18
stephen.robinson@company.com,2026-02-01,Cursor,gpt-4o,333998,6.54
stephen.robinson@company.com,2026-03-01,GitHub Copilot,o3-mini,297622,4.09
stephen.robinson@company.com,2026-03-01,Cursor,claude-sonnet-4-5,423963,7.23
stephen.robinson@company.com,2026-04-01,GitHub Copilot,gpt-4o,463222,6.16
stephen.robinson@company.com,2026-04-01,Cursor,gpt-4o,301783,5.45
stephen.robinson@company.com,2026-05-01,GitHub Copilot,claude-sonnet-4-5,200672,2.88
stephen.robinson@company.com,2026-05-01,Cursor,claude-opus-4-1,353589,6.1
priya.garcia@company.com,2026-01-01,Perplexity,sonar-reasoning,196544,3.45
priya.garcia@company.com,2026-03-01,Perplexity,sonar-reasoning,324052,6.41
priya.garcia@company.com,2026-05-01,Perplexity,sonar-reasoning,271362,4.61
priya.garcia@company.com,2026-06-01,Perplexity,sonar-pro,422899,6.64
carolyn.martinez@company.com,2026-01-01,Claude,claude-sonnet-4-5,588573,15.09
